,Date,Time,T,RH,AH,CO,CO_diff
0,10/03/2004,18.0,13.6,48.9,0.7578,2.6,0.20003297046867383
1,10/03/2004,19.0,13.3,47.7,0.7255,2.0,0.02333242316609255
2,10/03/2004,20.0,11.9,54.0,0.7502,2.2,0.0022326056002862998
3,10/03/2004,21.0,11.0,60.0,0.7867,2.2,0.0022326056002862998
4,10/03/2004,22.0,11.2,59.6,0.7888,1.6,0.30553205829770497
5,10/03/2004,23.0,11.2,59.2,0.7848,1.2,0.9077316934293177
6,11/03/2004,0.0,11.3,56.8,0.7603,1.2,0.9077316934293177
7,11/03/2004,1.0,10.7,60.0,0.7702,1.0,1.3288315109951239
8,11/03/2004,2.0,10.7,59.7,0.7648,0.9,1.5693814197780274
9,11/03/2004,3.0,10.3,60.2,0.7517,0.6,2.411031146126736
11,11/03/2004,5.0,11.0,56.2,0.7366,0.7,2.1104812373438335
12,11/03/2004,6.0,10.5,58.1,0.7353,0.7,2.1104812373438335
13,11/03/2004,7.0,10.2,59.6,0.7417,1.1,1.1082816022122206
14,11/03/2004,8.0,10.8,57.4,0.7408,2.0,0.02333242316609255
15,11/03/2004,9.0,10.5,60.6,0.7691,2.2,0.0022326056002862998
16,11/03/2004,10.0,10.8,58.4,0.7552,1.7,0.204982149514802
17,11/03/2004,11.0,10.5,57.9,0.7352,1.5,0.42608196708060825
18,11/03/2004,12.0,9.5,66.8,0.7951,1.6,0.30553205829770497
19,11/03/2004,13.0,8.3,76.4,0.8393,1.9,0.06388233194899573
20,11/03/2004,14.0,8.0,81.1,0.8736,2.9,0.5583832441199642
21,11/03/2004,15.0,8.3,79.8,0.8778,2.2,0.0022326056002862998
22,11/03/2004,16.0,9.7,71.2,0.8569,2.2,0.0022326056002862998
23,11/03/2004,17.0,9.8,67.6,0.8185,2.9,0.5583832441199642
24,11/03/2004,18.0,10.3,64.2,0.8065,4.8,7.007934977244804
25,11/03/2004,19.0,9.7,69.3,0.8319,6.9,22.536386892803847
26,11/03/2004,20.0,9.6,67.8,0.8133,6.1,15.580786163067062
27,11/03/2004,21.0,9.1,64.0,0.7419,3.9,3.052884156290933
28,11/03/2004,22.0,8.2,63.4,0.6905,1.5,0.42608196708060825
29,11/03/2004,23.0,8.2,60.8,0.6657,1.0,1.3288315109951239
30,12/03/2004,0.0,8.3,58.5,0.6438,1.7,0.204982149514802
31,12/03/2004,1.0,7.7,59.7,0.6308,1.9,0.06388233194899573
32,12/03/2004,2.0,7.1,61.8,0.6276,1.4,0.5666318758635115
