,avg,ds,max,min,ti
0,1.7860182370820665,0.953944799185313,5.9,0.1,0
1,1.4678018575851395,1.0490481723694742,5.6,0.1,1
2,1.0990624999999998,1.268390437642035,5.5,0.1,2
3,0.8884615384615387,1.4049599777880741,5.2,0.1,3
4,0.7586592178770949,1.480658828956206,2.8,0.1,4
5,0.7129337539432183,1.4937422273277947,2.9,0.1,5
6,0.9215625,1.3083816017301373,3.5,0.1,6
7,1.8109034267912765,1.222016139505144,5.7,0.1,7
8,2.8237500000000004,1.6505312300160697,7.3,0.1,8
9,2.972477064220183,1.756129486789984,8.1,0.1,9
10,2.5657492354740055,1.3423635084182486,6.6,0.2,10
11,2.2609230769230764,1.0810898634446786,6.6,0.1,11
12,2.1696319018404915,0.9890512476342017,6.0,0.1,12
13,2.2012269938650317,1.1190732839006519,6.9,0.1,13
14,2.126073619631902,1.2135394607921113,7.9,0.1,14
15,2.0492307692307694,1.0897885344251677,6.1,0.1,15
16,2.267477203647414,1.1971669396454916,7.1,0.2,16
17,2.8163141993957703,1.696839467181133,8.4,0.3,17
18,3.4363363363363395,2.2906827277153115,10.2,0.1,18
19,3.7332335329341335,2.4147504719994908,11.9,0.4,19
20,3.4690690690690693,2.184542867421798,11.5,0.7,20
21,2.6009036144578306,1.4129839186231976,8.6,0.3,21
22,1.9769696969696968,0.8977538548666876,5.4,0.1,22
23,1.8775075987841943,0.8944237490526361,5.4,0.1,23
